"""","印 刷・同 関 連 業_事業所数","印 刷・同 関 連 業_従業者数(人)","印 刷・同 関 連 業_現金給与総額(百万円)","印 刷・同 関 連 業_原材料使用額等(百万円)","印 刷・同 関 連 業_製造品出荷額等(百万円)","印 刷・同 関 連 業_付加価値額(百万円)","化　学　工　業_事業所数","化　学　工　業_従業者数(人)","化　学　工　業_現金給与総額(百万円)","化　学　工　業_原材料使用額等(百万円)","化　学　工　業_製造品出荷額等(百万円)","化　学　工　業_付加価値額(百万円)","石油製品・石炭製品_事業所数","石油製品・石炭製品_従業者数(人)","石油製品・石炭製品_現金給与総額(百万円)","石油製品・石炭製品_原材料使用額等(百万円)","石油製品・石炭製品_製造品出荷額等(百万円)","石油製品・石炭製品_付加価値額(百万円)"
"平成16年(2004年)","103.0","1027.0","3376.0","4731.0","11010.0","5802.0","70.0","4905.0","28972.0","116342.0","354746.0","213650.0","8.0","746.0","6349.0","332614.0","526369.0","55767.0"
"平成17年(2005年)","109.0","1050.0","3281.0","5035.0","11309.0","5809.0","74.0","4507.0","27013.0","119437.0","355055.0","218360.0","8.0","739.0","6210.0","534109.0","743632.0","55827.0"
"","","","","","","","","","","","","","","","","","",""
"平成18年(2006年)","100.0","1008.0","3140.0","4308.0","10326.0","5601.0","70.0","4387.0","27888.0","126033.0","299508.0","155407.0","8.0","713.0","6199.0","569241.0","731972.0","24957.0"
"平成19年(2007年)","98.0","1057.0","3296.0","5170.0","11331.0","5613.0","73.0","4543.0","27977.0","201006.0","277944.0","62238.0","9.0","849.0","6918.0","694525.0","846493.0","4841.0"
"平成20年(2008年)","103.0","1064.0","3120.0","5352.0","11400.0","5534.0","76.0","4870.0","27875.0","156877.0","288101.0","115911.0","8.0","920.0","7211.0","641724.0","768998.0","36215.0"
"平成21年(2009年)","86.0","962.0","2918.0","4917.0","11351.0","5825.0","70.0","4871.0","26761.0","145834.0","282237.0","115423.0","9.0","920.0","7327.0","412173.0","530689.0","-2629.0"
"平成22年(2010年)","82.0","986.0","2972.0","5077.0","11518.0","5637.0","65.0","4806.0","26780.0","147083.0","301773.0","139616.0","8.0","923.0","7158.0","491989.0","712068.0","95156.0"
"","","","","","","","","","","","","","","","","","",""
"平成23年(2011年)","81.0","1607.0","4297.0","7121.0","17402.0","9228.0","76.0","4894.0","28500.0","151376.0","321445.0","157039.0","11.0","1049.0","7284.0","556398.0","774298.0","120248.0"
"平成24年(2012年)","73.0","1024.0","3185.78","4946.41","12184.44","6635.58","70.0","4876.0","28502.920000000002","145096.19","312983.05","144811.09","8.0","934.0","7205.37","597022.76","775542.38","108476.25"
"平成25年(2013年)","70.0","978.0","3151.35","5246.51","12285.75","6374.01","74.0","4871.0","27708.45","153682.01","323056.54","150979.48","9.0","967.0","6790.63","682023.45","825771.53","70891.55"
